題號,題目,選項1,選項2,選項3,選項4,答案
47,依據「本國銀行氣候風險財務揭露指引」，銀行應對實體風險與轉型風險進行情境分析與壓力測試， 其下列哪項特性敘述錯誤？,評估氣候風險對其業務之影響,探索在不同氣候情境下自身對氣候風險之韌性,選取之情境應以歷史資料為主，避免使用前瞻性資訊，以產生不確定性之結果,應選取與銀行相關且合理之情境,3
48,資本額 50~100 億元公司，規定哪一年揭露合併報表子公司的溫室氣體盤查資訊？,114 年,115 年,116 年,117 年,2
49,金融機構協助減緩少子化風險的作為有哪些？,凍卵險,完善的育嬰留職停薪制度,生育保險,以上皆是,4
50,IPCC「2022 氣候變遷：影響、調適與脆弱性」報告中，針對沿海社會生態系統的風險提出調適選項， 下列何者為其選項？,改善排水,海堤和海岸養護,抬高沿海道路,以上皆是,4
51,金融機構提供青年安心成家貸款、延長貸款期限或寬限期有助於達成哪一項永續目標（或減緩哪一個 風險）？,消除貧窮,缺乏居住正義,城鄉差距擴大,超高齡化,2
52,下列何者不是溫室氣體？,水蒸氣,一氧化二氮,氨氣,二氧化碳,3
53,下列何者為立即性的氣候實體風險？,海平面上升,颱風,全球暖化,冰川消融,2
54,下列何者非金融機構面對治理風險的作為？,與大學產學合作,董事會成員多元化,誠信經營,成立薪酬委員會,1
55,全球暖化趨勢下，臺灣受到淹水影響最顯著的地區位在何處？,西南沿海,北海岸,花東海岸,桃竹苗海岸,1
56,根據世界經濟論壇《2023 全球風險報告》，未來 10 年內影響全球的前 4 大風險都是屬於哪一類型的 風險？,環境風險,社會風險,治理風險,戰爭風險,1
57,根據 IPCC《氣候變遷與土地(Climate Change and Land)》特別報告，受到土地劣化（土壤肥沃度喪失、 經濟生產力的惡化或野生動植物多樣性下降等）影響的人口數為何？,1-3 百萬人,1-3 千萬人,1-3 億人,10 億人以上,3
58,針對臺灣社會超高齡化的危機，金融機構可以協助調適該風險的金融工具為何？,安養信託,以房養老,即期年金險,以上皆是,4
59,土地甲烷排放的最主要來源為何？,工業,農業,畜牧業,運輸業,3
60,根據劍橋大學風險管理研究中心公布的「2015─2025 城市風險指標」研究，對臺北市造成經濟損失最 大的風險為：,戰爭,風暴（颱風）,地震,金融,2
61,為解決氣候變遷的問題，國際上常由公私部門共同建立災害保險計畫，以保障極端氣候所造成的損失。 請問該保險可能是哪一種綠色保險？,參數型天氣保險,氣候保險,能源效率保險,節能保險,2
62,銀行 A 推出一貸款專案，該專案之資金僅能全數用於綠色支出，請問該專案最可能為什麼類型的授信？,綠色授信,社會授信,永續授信,永續連結授信,1
63,以下何種債券類別募集的資金，發行人較能自由決定債券的資金用途，增強公司資金運用靈活度，但 需訂定可持續發展關鍵績效指標(KPI)、可持續發展績效目標(SPT)，以及連結債券本息支付條件設計 等機制，來確保發行公司將永續發展納入到其經營策略與商業模式中？,綠色債券,社會債券,轉型債券,可持續發展連結債券,4
64,以下何者為 ESG 評比環境項目常見之指標？,廢棄物,風險管理,反貪腐,董事獨立性,1
65,永續投資中金融業的角色為何？ 甲.符合股東及社會長期最佳利益；乙.引導資金流向永續發展相關 項目；丙.協助不利永續發展之產業轉型,僅甲、乙,僅甲、丙,僅乙、丙,甲、乙、丙皆是,4
66,公司 A 發行公司債籌資，且其籌得資金將全部用於廢棄物回收處理投資，試問該債券可以申請何種債 券認可？,綠色債券,社會責任債券,可持續發展債券,以上皆是,1
67,公司 B 向銀行申請一筆貸款，其資金用途係用作身心障礙者的職能培訓之項目，請問公司 B 最適合申 請之授信為何種類型？,綠色授信,社會授信,永續授信,永續連結授信,2
68,下列何種貸款之資金應全部用於能夠發揮環境及社會影響力之專案？,綠色貸款,社會貸款,永續貸款,永續連結貸款,3
69,下列何者為綠色保險的主要目的？,減輕意外發生時的經濟負擔,提高環境治理與監管之水準,達到節稅的效果,穩定子女及後代的生活,2
70,永續投資的主要目標是什麼？,最大限度減少自然和社會資源的消耗,創造最大的經濟價值,高風險高報酬的投資,僅投資慈善相關企業,1
71,永續連結貸款(SLL)需訂立永續發展績效目標(SPT)和關鍵績效指標(KPI)，下列何者非永續發展績效目 標和關鍵績效指標？,生物多樣性,污染程度,溫室氣體排放量,再生能源安裝量,2
72,各國主管機關所發布之盡職治理守則，主要規範對象為以下何者？,上市櫃公司,一般投資人,機構投資人,理財顧問,3
73,以下何者非永續金融評鑑的推動目的？,協助國內金融業因應氣候變遷及 ESG 相關風險能力,引導金融業以捐助方式來協助解決社會問題,鼓勵表現優良業者發揮業界的標竿功能，加速推動國內永續金融生態圈的建構,引導金融業在擬定永續經營策略及採取行動方案時，能與國內現行推動之政策重點及監理方向同步,2
74,以下有關永續貸款原則之敘述何者是正確的？,綠色貸款原則、社會責任貸款原則以及永續連結貸款原則皆是由貸款市場協會(LMA)、亞太地區貸 款市場協會(APLMA)與貸款聯合組織貿易協會(LSTA)所合作制定,綠色貸款原則、社會責任貸款原則以及永續連結貸款原則皆是強制性原則,綠色貸款原則、社會責任貸款原則以及永續連結貸款原則皆無限定之貸款資金用途,綠色貸款原則、社會責任貸款原則以及永續連結貸款原則皆需設定永續發展績效目標(SPT),1
75,何者最符合綠色授信的概念？,一條關於銀行授信的法規，要求所有借款人皆須符合最低 ESG 標準,一種融資形式，使借款人能將貸款用於環境保護或氣候相關支出,一條國際準則，規範銀行審核綠色企業貸款相對於總貸款金額的比例,一種獎勵機制，符合環保或低碳的企業可以向政府申請貸款利率補助,2
76,下列何者為環境汙染責任保險與傳統汙染責任保險的差異？,臺灣未有環境汙染責任保險,承保污染的整治費用,承保突發或意外的汙染,承保第三人體傷或財產的損害,2
77,有關可持續發展連結債券(Sustainability linked bonds)之敘述，何者最為符合？,僅可持續發展績效優於同業者，得發行可持續發展連結債券,債券本息支付條件與發行人可持續發展績效目標相連結之債券,可持續發展連結債券所募集之資金全數用於綠色投資計畫或社會效益投資計畫,以上皆非,2
78,若公司施行責任投資原則(PRI)，則該公司滿足永續保險原則(PSI)的哪一原則？,原則一：將與保險業相關的 ESG 議題融入公司決策中,原則二：與客戶和業務合作夥伴合作，以提高對 ESG 議題的意識，並一同管理風險並制定解決方案,原則三：與各國政府、監管機構和其他主要利益攸關方合作，推動全社會為 ESG 議題採取廣泛行動,原則四：透明揭露永續保險原則實行狀況，並將定期揭露視為責任,1
79,下列有關於永續保險原則(PSI)之敘述何者錯誤？,永續保險原則為第一個針對保險業的框架,由聯合國環境規劃署金融倡議機構啟動,必須將巴黎協定整合至業務發展中,提供保險公司及其利害關係人具體的永續作為,3
80,因應減碳目標，在建構以達成減碳為主題的指數時，以下哪個碳排放指標在減碳上是對全球暖化問題 較有顯著的影響？,範疇一,範疇二,範疇三,以上皆非,3
